"type","id","locationName","geo","X","Y","REGION_NOM","PREF_NOM","month","partnerName","activity","activityName","startDate","endDate","year","SPREF_NOM","COM_NOM","intervention_type","variable","numbers"
"Feature","2143562893","Kaké","6.83371666666667,15.8155055555556","15.8155055555556","6.83371666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-27","2014-07-15","2014","Bocaranga","Péndé","NFI","NFI_Vêtements_enfants_total",0
"Feature","94832746","Bangui","4.39399444444444,18.5329055555556","18.5329055555556","4.39399444444444","Bas-Oubangui","Bangui","2014-06","ACF","13327","INTERVENTION","2014-06-05","2014-07-04","2014","Bangui","Bangui","WASH","NFI_Vêtement_bébé",0
"Feature","98821588","Berberati","4.26018055555556,15.7904861111111","15.7904861111111","4.26018055555556","Equateur","Mambéré-Kadéï","2014-04","ACF","13327","INTERVENTION","2014-04-21","2014-05-09","2014","Berbérati","Basse-Batouri","WASH","NFI_Vêtement_bébé",0
"Feature","115393556","Bondiba","5.535135,14.794725","14.794725","5.535135","Equateur","Nana-Mambéré","2015-01","ACF","13327","INTERVENTION","2015-01-30","2015-02-01","2015","Baboua","Baboua","NFI/WASH","NFI_Vêtement_bébé",0
"Feature","196757754","Moyenne Sido","8.22508333333333,18.7114333333333","18.7114333333333","8.22508333333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","NFI_Vêtement_bébé",0
"Feature","265721479","Bambari","5.75466666666667,20.6785861111111","20.6785861111111","5.75466666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-14","2014-06-15","2014","Bambari","Bambari","NFI","NFI_Vêtement_bébé",0
"Feature","407345956","Demba Batéké","4.98116388888889,16.272125","16.272125","4.98116388888889","Equateur","Mambéré-Kadéï","2014-08","PU-AMI","13327","INTERVENTION","2014-08-01","2014-08-01","2014","Gadzi","Topia","NFI","NFI_Vêtement_bébé",160
"Feature","558289820","Kabo","7.69125833333333,18.6276638888889","18.6276638888889","7.69125833333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","NFI_Vêtement_bébé",0
"Feature","632841366","Kabo","7.697565,18.629944","18.629944","7.697565","Yadé","Ouham","2014-04","SI","13327","INTERVENTION","2014-04-25","2014-04-30","2014","Kabo","Sido","NFI/WASH/Abri","NFI_Vêtement_bébé",0
"Feature","801479719","Kaga-Bandoro","6.990379,19.191543","19.191543","6.990379","Kagas","Nana-Gribizi","2015-01","SI","13327","INTERVENTION","2015-01-29","2015-01-30","2015","Kaga-Bandoro","Kaga-Bandoro","NFI","NFI_Vêtement_bébé",0
"Feature","852334036","Bokonde","7.899799,18.680748","18.680748","7.899799","Yadé","Ouham","2014-08","SI","13327","INTERVENTION","2014-08-22","2014-08-23","2014","Kabo","Sido","NFI","NFI_Vêtement_bébé",0
"Feature","872205074","Kaga-Bandoro","6.992369,19.185733","19.185733","6.992369","Kagas","Nana-Gribizi","2015-03","SI","13327","INTERVENTION","2015-03-11","2015-03-13","2015","Kaga-Bandoro","Kaga-Bandoro","NFI","NFI_Vêtement_bébé",0
"Feature","944830302","Boganangone","4.69585277777778,17.1980666666667","17.1980666666667","4.69585277777778","Plateaux","Lobaye","2014-08","PU-AMI","13327","INTERVENTION","2014-08-15","2014-08-15","2014","Boganangone","Boganangone","NFI/WASH","NFI_Vêtement_bébé",118
"Feature","945538549","Bozakon","6.95437222222222,18.5099027777778","18.5099027777778","6.95437222222222","Yadé","Ouham","2014-08","ACF","13327","INTERVENTION","2014-08-23","2014-08-25","2014","Bouca","Lady Gbawi","NFI","NFI_Vêtement_bébé",0
"Feature","1098220660","Sibut","5.73568888888889,19.0860416666667","19.0860416666667","5.73568888888889","Kagas","Kémo","2014-06","ACF","13327","INTERVENTION","2014-06-08","2014-06-09","2014","Sibut","Sibut","NFI","NFI_Vêtement_bébé",0
"Feature","1141089873","Sabewa","6.668017,14.982606","14.982606","6.668017","Equateur","Nana-Mambéré","2015-03","ACF","13327","INTERVENTION","2015-03-05","2015-03-05","2015","Bouar","Niem-Yelewa","NFI/WASH","NFI_Vêtement_bébé",0
"Feature","1149390357","Grimari","5.74136666666667,20.0552","20.0552","5.74136666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-12","2014-06-13","2014","Grimari","Grimari","NFI","NFI_Vêtement_bébé",0
"Feature","1175676960","Bozélé","6.64559722222222,17.42835","17.42835","6.64559722222222","Yadé","Ouham","2014-06","ACF","13327","INTERVENTION","2014-06-19","2014-06-19","2014","Nana-Bakassa","Nana-Bakassa","NFI","NFI_Vêtement_bébé",0
"Feature","1258318500","Yaloké","5.31262777777778,17.1006916666667","17.1006916666667","5.31262777777778","Plateaux","Ombella M'Poko","2014-05","ACF","13327","INTERVENTION","2014-05-01","2014-05-10","2014","Yaloké","Yaloké","WASH","NFI_Vêtement_bébé",0
"Feature","1367826435","Mann","7.37591666666667,15.4850583333333","15.4850583333333","7.37591666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-28","2014-07-31","2014","Ngaoundaye","Kodi","WASH","NFI_Vêtement_bébé",0
"Feature","1381250290","Bofire","6.71861,17.766026","17.766026","6.71861","Yadé","Ouham","2015-03","ACF","13327","INTERVENTION","2015-03-10","2015-03-14","2015","Bossangoa","Ben Zambé","NFI/WASH","NFI_Vêtement_bébé",0
"Feature","1495240485","Banbari","5.75144444444444,20.6671722222222","20.6671722222222","5.75144444444444","Kagas","Ouaka","2014-07","ACTED","13327","INTERVENTION","2014-07-14","2014-07-18","2014","Bambari","Bambari","NFI","NFI_Vêtement_bébé",0
"Feature","1564567191","Kabo","7.68898333333333,18.6230277777778","18.6230277777778","7.68898333333333","Yadé","Ouham","2014-04","SI","13327","INTERVENTION","2014-04-25","2014-04-30","2014","Kabo","Sido","NFI/WASH/Abri","NFI_Vêtement_bébé",0
"Feature","1567704880","Bouca","6.51158055555556,18.2779888888889","18.2779888888889","6.51158055555556","Yadé","Ouham","2014-05","ACF","13327","INTERVENTION","2014-05-28","2014-05-30","2014","Bouca","Bouca Bobo","NFI/WASH","NFI_Vêtement_bébé",0
"Feature","1618795228","Damara","4.95766944444444,18.6962194444444","18.6962194444444","4.95766944444444","Plateaux","Ombella M'Poko","2014-04","ACTED","13327","INTERVENTION","2014-04-11","2014-04-25","2014","Damara","Damara","NFI/WASH","NFI_Vêtement_bébé",0
"Feature","1756729082","Ngoutéré","6.77181944444444,15.8982472222222","15.8982472222222","6.77181944444444","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-07","2014-06-07","2014","Bocaranga","Péndé","NFI","NFI_Vêtement_bébé",0
"Feature","1888755627","Kaga-Bandoro","6.99236944444444,19.1857333333333","19.1857333333333","6.99236944444444","Kagas","Nana-Gribizi","2014-06","SI","13327","INTERVENTION","2014-06-07","2014-07-11","2014","Kaga-Bandoro","Kaga-Bandoro","NFI","NFI_Vêtement_bébé",0
"Feature","2040360374","Kabo","7.69704166666667,18.6252583333333","18.6252583333333","7.69704166666667","Yadé","Ouham","2014-08","SI","13327","INTERVENTION","2014-08-22","2014-08-22","2014","Kabo","Sido","NFI","NFI_Vêtement_bébé",0
"Feature","2053797164","Gbabiro","6.849218,17.69758","17.69758","6.849218","Yadé","Ouham","2015-03","ACF","13327","INTERVENTION","2015-03-03","2015-03-06","2015","Bossangoa","Ben Zambé","NFI/WASH","NFI_Vêtement_bébé",0
"Feature","2143562893","Kaké","6.83371666666667,15.8155055555556","15.8155055555556","6.83371666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-27","2014-07-15","2014","Bocaranga","Péndé","NFI","NFI_Vêtement_bébé",0
"Feature","94832746","Bangui","4.39399444444444,18.5329055555556","18.5329055555556","4.39399444444444","Bas-Oubangui","Bangui","2014-06","ACF","13327","INTERVENTION","2014-06-05","2014-07-04","2014","Bangui","Bangui","WASH","Abris",0
"Feature","98821588","Berberati","4.26018055555556,15.7904861111111","15.7904861111111","4.26018055555556","Equateur","Mambéré-Kadéï","2014-04","ACF","13327","INTERVENTION","2014-04-21","2014-05-09","2014","Berbérati","Basse-Batouri","WASH","Abris",0
"Feature","115393556","Bondiba","5.535135,14.794725","14.794725","5.535135","Equateur","Nana-Mambéré","2015-01","ACF","13327","INTERVENTION","2015-01-30","2015-02-01","2015","Baboua","Baboua","NFI/WASH","Abris",0
"Feature","196757754","Moyenne Sido","8.22508333333333,18.7114333333333","18.7114333333333","8.22508333333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","Abris",0
"Feature","265721479","Bambari","5.75466666666667,20.6785861111111","20.6785861111111","5.75466666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-14","2014-06-15","2014","Bambari","Bambari","NFI","Abris",0
"Feature","407345956","Demba Batéké","4.98116388888889,16.272125","16.272125","4.98116388888889","Equateur","Mambéré-Kadéï","2014-08","PU-AMI","13327","INTERVENTION","2014-08-01","2014-08-01","2014","Gadzi","Topia","NFI","Abris",0
"Feature","558289820","Kabo","7.69125833333333,18.6276638888889","18.6276638888889","7.69125833333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","Abris",0
"Feature","632841366","Kabo","7.697565,18.629944","18.629944","7.697565","Yadé","Ouham","2014-04","SI","13327","INTERVENTION","2014-04-25","2014-04-30","2014","Kabo","Sido","NFI/WASH/Abri","Abris",18
"Feature","801479719","Kaga-Bandoro","6.990379,19.191543","19.191543","6.990379","Kagas","Nana-Gribizi","2015-01","SI","13327","INTERVENTION","2015-01-29","2015-01-30","2015","Kaga-Bandoro","Kaga-Bandoro","NFI","Abris",0
"Feature","852334036","Bokonde","7.899799,18.680748","18.680748","7.899799","Yadé","Ouham","2014-08","SI","13327","INTERVENTION","2014-08-22","2014-08-23","2014","Kabo","Sido","NFI","Abris",0
"Feature","872205074","Kaga-Bandoro","6.992369,19.185733","19.185733","6.992369","Kagas","Nana-Gribizi","2015-03","SI","13327","INTERVENTION","2015-03-11","2015-03-13","2015","Kaga-Bandoro","Kaga-Bandoro","NFI","Abris",0
"Feature","944830302","Boganangone","4.69585277777778,17.1980666666667","17.1980666666667","4.69585277777778","Plateaux","Lobaye","2014-08","PU-AMI","13327","INTERVENTION","2014-08-15","2014-08-15","2014","Boganangone","Boganangone","NFI/WASH","Abris",0
"Feature","945538549","Bozakon","6.95437222222222,18.5099027777778","18.5099027777778","6.95437222222222","Yadé","Ouham","2014-08","ACF","13327","INTERVENTION","2014-08-23","2014-08-25","2014","Bouca","Lady Gbawi","NFI","Abris",0
"Feature","1098220660","Sibut","5.73568888888889,19.0860416666667","19.0860416666667","5.73568888888889","Kagas","Kémo","2014-06","ACF","13327","INTERVENTION","2014-06-08","2014-06-09","2014","Sibut","Sibut","NFI","Abris",0
"Feature","1141089873","Sabewa","6.668017,14.982606","14.982606","6.668017","Equateur","Nana-Mambéré","2015-03","ACF","13327","INTERVENTION","2015-03-05","2015-03-05","2015","Bouar","Niem-Yelewa","NFI/WASH","Abris",0
"Feature","1149390357","Grimari","5.74136666666667,20.0552","20.0552","5.74136666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-12","2014-06-13","2014","Grimari","Grimari","NFI","Abris",0
"Feature","1175676960","Bozélé","6.64559722222222,17.42835","17.42835","6.64559722222222","Yadé","Ouham","2014-06","ACF","13327","INTERVENTION","2014-06-19","2014-06-19","2014","Nana-Bakassa","Nana-Bakassa","NFI","Abris",0
"Feature","1258318500","Yaloké","5.31262777777778,17.1006916666667","17.1006916666667","5.31262777777778","Plateaux","Ombella M'Poko","2014-05","ACF","13327","INTERVENTION","2014-05-01","2014-05-10","2014","Yaloké","Yaloké","WASH","Abris",0
"Feature","1367826435","Mann","7.37591666666667,15.4850583333333","15.4850583333333","7.37591666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-28","2014-07-31","2014","Ngaoundaye","Kodi","WASH","Abris",0
"Feature","1381250290","Bofire","6.71861,17.766026","17.766026","6.71861","Yadé","Ouham","2015-03","ACF","13327","INTERVENTION","2015-03-10","2015-03-14","2015","Bossangoa","Ben Zambé","NFI/WASH","Abris",0
"Feature","1495240485","Banbari","5.75144444444444,20.6671722222222","20.6671722222222","5.75144444444444","Kagas","Ouaka","2014-07","ACTED","13327","INTERVENTION","2014-07-14","2014-07-18","2014","Bambari","Bambari","NFI","Abris",0
"Feature","1564567191","Kabo","7.68898333333333,18.6230277777778","18.6230277777778","7.68898333333333","Yadé","Ouham","2014-04","SI","13327","INTERVENTION","2014-04-25","2014-04-30","2014","Kabo","Sido","NFI/WASH/Abri","Abris",6
"Feature","1567704880","Bouca","6.51158055555556,18.2779888888889","18.2779888888889","6.51158055555556","Yadé","Ouham","2014-05","ACF","13327","INTERVENTION","2014-05-28","2014-05-30","2014","Bouca","Bouca Bobo","NFI/WASH","Abris",0
"Feature","1618795228","Damara","4.95766944444444,18.6962194444444","18.6962194444444","4.95766944444444","Plateaux","Ombella M'Poko","2014-04","ACTED","13327","INTERVENTION","2014-04-11","2014-04-25","2014","Damara","Damara","NFI/WASH","Abris",0
"Feature","1756729082","Ngoutéré","6.77181944444444,15.8982472222222","15.8982472222222","6.77181944444444","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-07","2014-06-07","2014","Bocaranga","Péndé","NFI","Abris",0
"Feature","1888755627","Kaga-Bandoro","6.99236944444444,19.1857333333333","19.1857333333333","6.99236944444444","Kagas","Nana-Gribizi","2014-06","SI","13327","INTERVENTION","2014-06-07","2014-07-11","2014","Kaga-Bandoro","Kaga-Bandoro","NFI","Abris",0
"Feature","2040360374","Kabo","7.69704166666667,18.6252583333333","18.6252583333333","7.69704166666667","Yadé","Ouham","2014-08","SI","13327","INTERVENTION","2014-08-22","2014-08-22","2014","Kabo","Sido","NFI","Abris",0
"Feature","2053797164","Gbabiro","6.849218,17.69758","17.69758","6.849218","Yadé","Ouham","2015-03","ACF","13327","INTERVENTION","2015-03-03","2015-03-06","2015","Bossangoa","Ben Zambé","NFI/WASH","Abris",0
"Feature","2143562893","Kaké","6.83371666666667,15.8155055555556","15.8155055555556","6.83371666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-27","2014-07-15","2014","Bocaranga","Péndé","NFI","Abris",0
"Feature","94832746","Bangui","4.39399444444444,18.5329055555556","18.5329055555556","4.39399444444444","Bas-Oubangui","Bangui","2014-06","ACF","13327","INTERVENTION","2014-06-05","2014-07-04","2014","Bangui","Bangui","WASH","Kits_VIVRES",0
"Feature","98821588","Berberati","4.26018055555556,15.7904861111111","15.7904861111111","4.26018055555556","Equateur","Mambéré-Kadéï","2014-04","ACF","13327","INTERVENTION","2014-04-21","2014-05-09","2014","Berbérati","Basse-Batouri","WASH","Kits_VIVRES",0
"Feature","115393556","Bondiba","5.535135,14.794725","14.794725","5.535135","Equateur","Nana-Mambéré","2015-01","ACF","13327","INTERVENTION","2015-01-30","2015-02-01","2015","Baboua","Baboua","NFI/WASH","Kits_VIVRES",0
"Feature","196757754","Moyenne Sido","8.22508333333333,18.7114333333333","18.7114333333333","8.22508333333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","Kits_VIVRES",0
"Feature","265721479","Bambari","5.75466666666667,20.6785861111111","20.6785861111111","5.75466666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-14","2014-06-15","2014","Bambari","Bambari","NFI","Kits_VIVRES",0
"Feature","407345956","Demba Batéké","4.98116388888889,16.272125","16.272125","4.98116388888889","Equateur","Mambéré-Kadéï","2014-08","PU-AMI","13327","INTERVENTION","2014-08-01","2014-08-01","2014","Gadzi","Topia","NFI","Kits_VIVRES",0
"Feature","558289820","Kabo","7.69125833333333,18.6276638888889","18.6276638888889","7.69125833333333","Yadé","Ouham","2014-06","SI","13327","INTERVENTION","2014-06-25","2014-06-25","2014","Kabo","Sido","NFI","Kits_VIVRES",0
"Feature","632841366","Kabo","7.697565,18.629944","18.629944","7.697565","Yadé","Ouham","2014-04","SI","13327","INTERVENTION","2014-04-25","2014-04-30","2014","Kabo","Sido","NFI/WASH/Abri","Kits_VIVRES",0
"Feature","801479719","Kaga-Bandoro","6.990379,19.191543","19.191543","6.990379","Kagas","Nana-Gribizi","2015-01","SI","13327","INTERVENTION","2015-01-29","2015-01-30","2015","Kaga-Bandoro","Kaga-Bandoro","NFI","Kits_VIVRES",0
"Feature","852334036","Bokonde","7.899799,18.680748","18.680748","7.899799","Yadé","Ouham","2014-08","SI","13327","INTERVENTION","2014-08-22","2014-08-23","2014","Kabo","Sido","NFI","Kits_VIVRES",0
"Feature","872205074","Kaga-Bandoro","6.992369,19.185733","19.185733","6.992369","Kagas","Nana-Gribizi","2015-03","SI","13327","INTERVENTION","2015-03-11","2015-03-13","2015","Kaga-Bandoro","Kaga-Bandoro","NFI","Kits_VIVRES",0
"Feature","944830302","Boganangone","4.69585277777778,17.1980666666667","17.1980666666667","4.69585277777778","Plateaux","Lobaye","2014-08","PU-AMI","13327","INTERVENTION","2014-08-15","2014-08-15","2014","Boganangone","Boganangone","NFI/WASH","Kits_VIVRES",0
"Feature","945538549","Bozakon","6.95437222222222,18.5099027777778","18.5099027777778","6.95437222222222","Yadé","Ouham","2014-08","ACF","13327","INTERVENTION","2014-08-23","2014-08-25","2014","Bouca","Lady Gbawi","NFI","Kits_VIVRES",0
"Feature","1098220660","Sibut","5.73568888888889,19.0860416666667","19.0860416666667","5.73568888888889","Kagas","Kémo","2014-06","ACF","13327","INTERVENTION","2014-06-08","2014-06-09","2014","Sibut","Sibut","NFI","Kits_VIVRES",0
"Feature","1141089873","Sabewa","6.668017,14.982606","14.982606","6.668017","Equateur","Nana-Mambéré","2015-03","ACF","13327","INTERVENTION","2015-03-05","2015-03-05","2015","Bouar","Niem-Yelewa","NFI/WASH","Kits_VIVRES",0
"Feature","1149390357","Grimari","5.74136666666667,20.0552","20.0552","5.74136666666667","Kagas","Ouaka","2014-06","ACTED","13327","INTERVENTION","2014-06-12","2014-06-13","2014","Grimari","Grimari","NFI","Kits_VIVRES",0
"Feature","1175676960","Bozélé","6.64559722222222,17.42835","17.42835","6.64559722222222","Yadé","Ouham","2014-06","ACF","13327","INTERVENTION","2014-06-19","2014-06-19","2014","Nana-Bakassa","Nana-Bakassa","NFI","Kits_VIVRES",0
"Feature","1258318500","Yaloké","5.31262777777778,17.1006916666667","17.1006916666667","5.31262777777778","Plateaux","Ombella M'Poko","2014-05","ACF","13327","INTERVENTION","2014-05-01","2014-05-10","2014","Yaloké","Yaloké","WASH","Kits_VIVRES",0
"Feature","1367826435","Mann","7.37591666666667,15.4850583333333","15.4850583333333","7.37591666666667","Yadé","Ouham Pendé","2014-06","IRC","13327","INTERVENTION","2014-06-28","2014-07-31","2014","Ngaoundaye","Kodi","WASH","Kits_VIVRES",0
"Feature","1381250290","Bofire","6.71861,17.766026","17.766026","6.71861","Yadé","Ouham","2015-03","ACF","13327","INTERVENTION","2015-03-10","2015-03-14","2015","Bossangoa","Ben Zambé","NFI/WASH","Kits_VIVRES",0
